rank,name,college,class,pos,Sacks,Year
1,David Bailey,Texas Tech,SR,OLB,14.5,2025
1,Nadame Tucker,W Mich,SR,DE,14.5,2025
3,Anthony Smith,Minnesota,JR,DL,12.5,2025
3,Akheem Mesidor,Miami (Fl),SR,DL,12.5,2025
5,Nathan Voorhis,Ball State,SR,DE,12.0,2025
5,Colin Simmons,Texas,SO,EDG,12.0,2025
7,John Henry Daley,Utah,SO,DE,11.5,2025
7,Cashius Howell,Texas A&M,SR,DE,11.5,2025
9,Caden Curry,Ohio State,SR,DE,11.0,2025
9,Donnie Smith,Troy,JR,BAN,11.0,2025
9,Gabe Jacas,Illinois,SR,OLB,11.0,2025
12,Bryun Parham,UConn,SR,LB,10.5,2025
12,Melkart Abou Jaoude,N Carolina,JR,DL,10.5,2025
12,Michael Heldman,CMU,SR,DL,10.5,2025
15,Derrick Moore,Michigan,SR,EDG,10.0,2025
15,Jack Kelly,BYU,SR,LB,10.0,2025
15,Romello Height,Texas Tech,SR,OLB,10.0,2025
18,Teitum Tuioti,Oregon,JR,OLB,9.5,2025
18,"Rueben Bain, Jr.",Miami (Fl),JR,DL,9.5,2025
20,Damon Wilson II,Missouri,JR,DE,9.0,2025
20,Elijah Hill,KSU,FR,DL,9.0,2025
20,Keyshawn James-Newby,New Mexico,SR,DE,9.0,2025
20,Xavier Atkins,Auburn,SO,LB,9.0,2025
20,Princewill Umanmielen,Miss,JR,LB,9.0,2025
25,Clev Lubin,Louisville,JR,DL,8.5,2025
25,Adam Trick,Miami (Oh),JR,DL,8.5,2025
25,Demarcus Hendricks,Ark St,SR,DE,8.5,2025
25,Dani Dennis-Sutton,Penn State,SR,DE,8.5,2025
25,Isaiah Smith,SMU,SR,DE,8.5,2025
30,Yhonzae Pierre,Alabama,SO,LB,8.0,2025
30,Ethan Hassler,Ark St,SR,DL,8.0,2025
30,Harvey Dyson,Tulane,JR,BAN,8.0,2025
30,Ethan Hurkett,Iowa,SR,DL,8.0,2025
30,John Miller,Utah State,SR,ILB,8.0,2025
30,"Quincy Rhodes, Jr.",Arkansas,JR,DL,8.0,2025
31, Arvell Reese, Ohio St, Jr, EDGE, 7.5, 2025
12, T.J. Parker, Clemson, SO, EDGE, 11, 2024
