rank,name,college,class,pos,Tackles,Year
1,Owen Long,CSU,SO,LB,151,2025
2,Caden Fordham,NC State,SR,LB,143,2025
3,Red Murdock,Buffalo,SR,LB,142,2025
4,Quinn Urwiler,N Illinois,SR,LB,141,2025
5,Baron Hopson,KSU,SR,LB,138,2025
6,Bryce Boettcher,Oregon,SR,ILB,136,2025
7,Chris Jones,USM,SO,LB,135,2025
8,Micah Davey,UTEP,SR,LB,131,2025
9,Kaleb Elarms-Orr,TCU,SR,LB,130,2025
10,Jaxton Eck,New Mexico,JR,LB,129,2025
10,Ray Coney,Tulsa,JR,LB,129,2025
12,Jacob Rodriguez,Texas Tech,SR,LB,128,2025
13,Bryun Parham,UConn,SR,LB,126,2025
14,Jaden Dugger,La-Lafytte,SR,LB,125,2025
15,Jordan Stringer,Troy,SR,LB,123,2025
16,Gideon ESPN Lampron,BGSU,JR,LB,119,2025
17,Eli Blakey,Miami (Oh),SR,DB,118,2025
17,John Miller,Utah State,SR,ILB,118,2025
19,Jordan Kwiatkowski,CMU,SR,LB,117,2025
20,Oumar Diomande,UConn,SO,LB,116,2025
21,Robert Fitzgerald,N'western,JR,DB,115,2025
22,Brevin Hamblin,Utah State,JR,S,114,2025
22,Devin Lafayette,Troy,SR,SPR,114,2025
24,Andon Thomas,Army,SR,ILB,113,2025
24,Ethan Wesloski,N Texas,JR,LB,113,2025
24,Sam Brumfield,Memphis,SR,LB,113,2025
27,Marsel McDuffie,UNLV,SR,ILB,112,2025
28,Gavin Moul,Delaware,JR,LB,111,2025
29,Owen Chambliss,SDSU,SO,LB,110,2025
29,Tahj Ra-El,Purdue,SR,DB,110,2025
29,Mani Powell,Purdue,SR,LB,110,2025
32,Jackson Kuwatch,Miami (Oh),SR,LB,109,2025
33,Jordan Pollard,SJSU,SR,LB,108,2025
33,Blake Fletcher,Air Force,JR,LB,108,2025
35,Ty Benefield,Boise St,JR,S,107,2025
35,Johnny Chaney Jr.,FIU,SR,LB,107,2025
35,Treylin Payne,Texas St,SR,LB,107,2025
35,JonJon Vaughns,UCLA,SR,LB,107,2025
39,Jadon Pearson,Fresno St,SR,LB,106,2025
39,Sammy Brown,Clemson,SO,LB,106,2025
39,Andrew Awe,Rice,SR,LB,106,2025
39,Jaylen Wester,Western Ky,SR,LB,106,2025
39,Matt Rose,Stanford,JR,ILB,106,2025
39,Nick Andersen,Wk Forest,SR,DB,106,2025
39,Trent Hendrick,James Mad,SR,LB,106,2025
46,Keaton Thomas,Baylor,JR,LB,105,2025
46,Jhalyn Shuler,S Florida,SR,LB,105,2025
46,Jake Golday,Cincinnati,SR,LB,105,2025
46,Michael Montgomery,USM,JR,LB,105,2025
50,Ahmaad Moses,SMU,SR,S,104,2025
51,Amare Campbell,Penn State,JR,LB,103,2025
51,Mac Harris,S Florida,SR,OLB,103,2025
51,Maverick Baranowski,Minnesota,JR,LB,103,2025
51,Tyler Martin,U Mass,JR,LB,103,2025
55,Daniel Wingate,Maryland,JR,LB,102,2025
55,Rolijah Hardy,Indiana,SO,LB,102,2025
55,Bryce Llewellyn,EMU,SR,DB,102,2025
58,Jordan Crook,Ariz St,SR,LB,101,2025
58,Colton Phares,App St,SO,LB,101,2025
58,Rasheem Biles,Pittsburgh,JR,LB,101,2025
61,Mac Uihlein,N'western,SR,LB,100,2025
61,Parker Hughes,MTSU,SR,ILB,100,2025
61,Trey Fields,N Texas,SR,LB,100,2025
61,Cade Uluave,California,JR,ILB,100,2025
65,Keyshaun Elliott,Ariz St,SR,LB,98,2025
65,TJ Dottery,Miss,JR,LB,98,2025
67,Dalton Johnson,Arizona,SR,DB,97,2025
67,Aiden Fisher,Indiana,SR,LB,97,2025
67,MarcAnthony Parker,Navy,SO,LB,97,2025
70,Jamel Johnson,TCU,JR,S,96,2025
70,Dillon Thieneman,Oregon,JR,DB,96,2025
70,Josiah Robinson,Georgia St,JR,ILB,96,2025
70,Charles Correa,Purdue,SO,LB,96,2025
70,Leon Hart Jr.,FAU,JR,LB,96,2025
75,Terrence Williams,La-Lafytte,SR,LB,95,2025
75,TJ Quinn,Louisville,SR,LB,95,2025
77,KP Price,BC,JR,DB,94,2025
77,"Shad Banks, Jr.",UTSA,SR,ILB,94,2025
77,K'Von Sherman,Toledo,JR,LB,94,2025
77,Mason Woods,Kent State,SR,LB,94,2025
81,Alex McLaughlin,Washington,JR,S,93,2025
81,Naeten Mitchell,NMSU,SO,S,93,2025
81,Taye Brown,Arizona,JR,LB,93,2025
84,Lewis Carter,UCF,JR,LB,92,2025
84,Jacob Fields,La Tech,JR,DB,92,2025
84,Corey Myrick,USM,SO,SAF,92,2025
84,Davhon Keys,LSU,SO,LB,92,2025
84,Jayden Wilson,UTEP,JR,LB,92,2025
89,KT Seay,Delaware,JR,S,91,2025
89,Caleb Weaver,Duke,SR,S,91,2025
90,Sonny Styles,Ohio St,JR,LB,82,2025
