Player,Position,School,Height,Weight,40-yd Dash,Vertical Jump,Bench Press,Broad Jump,3-Cone Drill,20-yd Shuttle
Joey Aguilar,QB,Tennessee,75,229,,,,0,,
Drew Allar,QB,Penn State,77,228,,,,0,,
Luke Altmyer,QB,Illinois,74,210,4.72,32,,114,,
Carson Beck,QB,Miami,77,233,,,,0,,
Jalon Daniels,QB,Kansas,73,219,4.65,,,0,,
Joe Fagnano,QB,UConn,75,226,4.83,35,,118,,4.35
Taylen Green,QB,Arkansas,78,227,4.36,43.5,,134,,
Haynes King,QB,Georgia Tech,74,212,4.46,33.5,,108,6.89,4.17
Cade Klubnik,QB,Clemson,74,207,,,,0,,
Fernando Mendoza,QB,Indiana,76,236,,,,0,,
Behren Morton,QB,Texas Tech,74,221,,,,0,,
Garrett Nussmeier,QB,LSU,74,203,,,,0,,
Diego Pavia,QB,Vanderbilt,70,207,,,,0,,
Cole Payton,QB,North Dakota State,75,232,4.56,,,0,7.12,4.36
Sawyer Robertson ,QB,Baylor,76,216,4.64,,,0,7.45,4.46
Ty Simpson,QB,Alabama,73,211,,,,0,,
Aaron Anderson,WR,LSU,68,191,,30,,0,,
Vinny Anthony II,WR,Wisconsin,72,183,4.54,34.5,15,0,,4.07
Chris Bell,WR,Louisville ,73,222,,,,0,,
Dillon Bell,WR,Georgia,72,209,4.5,39,,126,,
Skyler Bell,WR,UConn,71,192,4.4,41,,133,,
Malik Benson,WR,Oregon ,72,189,4.37,32.5,,122,,
Germie Bernard,WR,Alabama,73,206,4.48,32.5,,125,6.71,4.31
Denzel Boston,WR,Washington,75,212,,35,,0,,4.28
Zachariah Branch,WR,Georgia,69,177,4.35,38,20,125,,
Chris Brazzell II,WR,Tennessee ,76,198,4.37,,,0,,
Barion Brown,WR,LSU,71,177,4.4,,,0,,
Deion Burks,WR,Oklahoma,70,180,4.3,42.5,26,131,,
Jeff Caldwell,WR,Cincinnati ,77,216,4.31,42,,134,,
Josh Cameron,WR,Baylor,73,220,,,,0,,
Kevin Coleman Jr,WR,Missouri,70,179,4.49,38.5,,126,,
KC Concepcion,WR,Texas A&M,71,196,,,,0,,
Omar Cooper Jr,WR,Indiana,72,199,4.42,37,,0,,
CJ Daniels,WR,Miami,74,202,,,,0,,
Caleb Douglas,WR,Texas Tech,75,206,4.39,31.5,,126,,
Malachi Fields,WR,Notre Dame,76,218,4.61,38,,124,6.98,4.35
Emmanuel Henderson Jr,WR,Kansas,73,185,4.44,35,,120,,
Chris Hilton Jr,WR,LSU,72,188,4.41,34.5,,122,7.25,4.41
Jordan Hudson,WR,SMU,73,191,,,,0,,
Ted Hurst,WR,Georgia State,76,206,4.42,36.5,,135,,
Caullin Lacy,WR,Louisville,69,183,4.55,33.5,,108,,
Bryce Lance,WR,North Dakota State,75,204,4.34,41.5,,133,7,4.15
Ja'kobi Lane,WR,USC,76,200,4.47,40,,0,,
Kendrick Law,WR,Kentucky,71,203,4.45,42,21,128,,
Makai Lemon,WR,USC,71,192,,,,0,,
Eric McAlister ,WR,TCU,76,194,,,,0,,
Donaven McCulley,WR,Michigan,76,203,,,,0,,
Eric Rivers,WR,Georgia Tech,70,176,4.35,37,,127,,
Chase Roberts,WR,BYU,75,209,4.64,37,,126,,
Elijah Sarratt,WR,Indiana ,74,210,,,,0,,
De'Zhaun Stribling,WR,Mississippi,73,207,4.36,36,,127,,
J. Michael Sturdivant,WR,Florida,75,207,4.4,39,,131,,
Carnell Tate,WR,Ohio State,74,192,4.53,,,0,,
Zavion Thomas,WR,LSU,70,190,4.28,36,,0,,
Brenen Thompson,WR,Mississippi State ,69,164,4.26,,,0,,
Jordyn Tyson,WR,Arizona State,73,203,,,26,0,,
Reggie Virgil,WR,Texas Tech,75,187,4.57,36,,0,,
Harrison Wallace III,WR,Mississippi ,72,192,4.54,,,0,,
Jalen Walthall,WR,Incarnate Ward,73,191,4.57,35,,131,,
Kaden Wetjen,WR,Iowa,69,193,4.47,35.5,,0,6.95,4.44
Antonio Williams,WR,Clemson,71,187,4.41,39.5,10,124,7,
Colbie Young,WR,Georgia,76,218,4.49,,,0,,
Kaytron Allen,RB,Penn State,71,216,,,,0,,
Max Bredeson,RB,Michigan,74,252,,,,0,,
Demond Claiborne,RB,Wake Forest,70,188,4.37,,,122,1.59,
Jonah Coleman,RB,Washington,68,220,,,22,0,,
CJ Donaldson,RB,Ohio State,74,230,,,,0,,
Rahsul Faison,RB,South Carolina,71,208,,37.5,,122,,
Eli Heidenreich,RB,Navy,72,198,4.44,35.5,16,120,1.55,
Roman Hemby,RB,Indiana,72,207,,,,0,,
Robert Henry Jr.,RB,UTSA,69,196,4.52,37,,124,1.62,4.31
Emmett Johnson,RB,Nebraska,70,202,4.56,,16,120,1.59,4.29
Jeremiyah Love,RB,Notre Dame,72,212,4.36,,,0,1.55,
Seth McGowan,RB,Kentucky,72,223,4.49,42.5,,131,1.6,4.5
Jam Miller,RB,Alabama,70,209,4.42,30.5,,115,1.53,
Le'veon Moss,RB,Texas A&M,71,203,,,,0,,
Jadarian Price,RB,Notre Dame,71,203,4.49,35,21,124,1.61,
Adam Randall,RB,Clemson,75,232,4.5,37,26,124,1.6,4.53
Desmond Reid,RB,Pittsburgh,66,174,,,,0,,
Nicholas Singleton,RB,Penn State,72,219,,,,0,,
J'Mari Taylor,RB,Virginia,70,199,,34.5,20,115,,
Mike Washington Jr,RB,Arkansas,73,223,4.33,39,,128,1.51,
Noah Whittington,RB,Oregon,68,205,,,24,0,,
Dallen Bentley,TE,Utah,76,253,4.62,35,,118,,4.42
Nate Boerkircher,TE,Texas A&M,76,245,,,,0,,4.4
Josh Cuevas,TE,Alabama,75,245,4.65,34,,118,7.37,4.38
Oscar Delp,TE,Georgia,77,245,,,,0,,
Khalil Dinkins,TE,Penn State,76,251,4.72,32.5,,119,7.28,4.33
Jack Endries,TE,Texas,76,245,4.62,36,,119,,
John Michael Gyllenborg,TE,Wyoming ,77,249,4.6,35.5,,128,,4.22
Matthew Hibner,TE,SMU,76,251,4.57,37,,108,,
Justin Joly,TE,NC State,75,241,,,,0,,
Will Kacmarek,TE,Ohio State,77,261,4.74,36,,119,,
Jaren Kanak,TE,Oklahoma ,74,234,4.52,36,,119,,
Miles Kitselman,TE,Tennessee,77,251,4.9,34.5,,108,,
Max Klare,TE,Ohio State ,76,246,,,,0,,
Marlin Klein,TE,Michigan ,78,248,4.61,36,,117,7.42,
Tanner Koziol,TE,Houston ,78,247,4.7,36.5,,122,,
RJ Maryland,TE,SMU,76,236,4.51,,,122,,
Lake McRee,TE,USC,76,243,,,,0,,
Riley Nowakowski,TE,Indiana,74,250,4.66,33,,120,,
Eli Raridon,TE,Notre Dame,78,245,4.62,36,,123,,
DJ Rogers,TE,TCU,76,258,,,,0,,
Sam Roush,TE,Stanford,78,267,4.7,38.5,,126,7.08,4.37
Joe Royer,TE,Cincinnati ,77,247,,,,0,,
Kenyon Sadiq,TE,Oregon,75,241,4.39,43.5,26,133,,
Bauer Sharp,TE,LSU,77,249,4.63,35,,120,,
Eli Stowers,TE,Vanderbilt,76,239,4.51,45.5,,135,,
Michael Trigg,TE,Baylor,76,240,,,,0,,
Dae'Quan Wright,TE,Mississippi ,76,246,,,,0,,
Vincent Anthony Jr,EDGE,Duke ,78,258,4.84,32.5,,123,,
David Bailey,EDGE,Texas Tech,75,251,4.5,35,,129,,
Rueben Bain,EDGE,Miami,74,263,,,,0,,
Cameron Ball,DT,Arkansas,75,310,5.13,32,,109,,4.76
Caleb Banks,DT,Florida ,78,327,5.04,32,,114,,
Jaishawn Barham,EDGE,Michigan ,75,240,4.64,33,,123,,
Nick Barrett,DE,South Carolina,75,312,5.11,31.5,,108,,4.91
Rayshaun Benny,DE,Michigan,75,298,,,,0,,
DeMonte Capehart,DT,Clemson,76,313,4.85,33.5,,107,,
Brandon Cleveland,DT,NC State ,75,307,5.12,,,0,,
Dontae Corleonne,DT,Cincinnati ,72,340,,,,0,,
Keyron Crawford,DT,Auburn,76,253,,,,0,,
Caden Curry,EDGE,Ohio State,75,257,,,,0,,
Dani Dennis-Sutton ,EDGE,Penn State,78,256,4.63,39.5,,131,6.9,
Zane Durant,DT,Penn State,73,290,4.75,33.5,,112,,
Bryson Eason,DE,Tennessee ,73,323,5.09,30.5,,112,,5
Deven Eastern,DT,Minnesota ,77,315,,27.5,,112,,
Logan Fano,DE,Utah,77,257,,,,0,,
Keldric Faulk,EDGE,Auburn,77,276,,35,,117,,
Skyler Gill- Howard,EDGE,Texas Tech,73,280,,,27,0,,
George Gumbs Jr,DT,Florida,76,245,4.66,41,,121,7,
David Gusta,DT,Kentucky ,75,308,4.88,32,37,0,,
Gracen Halton,DT,Oklahoma,75,293,4.82,36.5,,114,,4.79
Zxavien Harris,DT,Mississippi ,80,330,,,,0,,
Romello Height,EDGE,Texas Tech,75,239,4.64,39,,125,,
Cashius Howell,EDGE,Texas A&M,74,253,4.59,32.5,,115,,
Aidan Hubbard,EDGE,Northwestern,76,260,,,21,0,,
Lee Hunter,DT,Texas Tech,75,318,5.18,21.5,,100,,
Quintayvious Hutchins,DE,Boston College,75,233,4.74,37,,0,,
Gabe Jacas,EDGE,Illinois ,76,260,,,30,0,,
Darrell Jackson Jr,EDGE,Florida State,77,315,,,,0,,
Bobby Jamison-Travis ,DT,Auburn,75,328,,,,0,,
Marvin Jones Jr,EDGE,Oklahoma,77,245,4.69,,,0,,
Joshua Josephs,DE,Tennessee ,75,242,,,,0,,
Tim Keenan III,DT,Alabama,73,327,5.31,30,21,100,,
Nyjalik Kelly,EDGE,UCF,77,256,4.88,37,,0,,
Malachi Lawrence,DE,UCF,76,253,4.52,40,,130,,
Max Llewellyn,DT,Iowa,78,258,4.81,32.5,,115,,
Anthony Lucas,DE,USC,77,256,,,,0,,
Jackie Marshall,DT,Baylor,74,293,4.8,,,0,,4.68
Chris McClellan,EDGE,Missouri ,76,313,5.05,29.5,25,117,,
Kayden McDonald ,DT,Ohio State,73,326,,,,0,,
Akheem Mesidor,EDGE,Miami,75,259,,,,0,,
Christen Miller,DT,Georgia ,75,321,,,,0,,
Derrick Moore ,EDGE,Michigan ,76,255,,,,0,,
Trey Moore ,EDGE,Texas,74,243,4.54,38.5,,120,,4.43
Tyler Onyedim,DL,Texas A&M,75,292,,32,,111,,
Domonique Orange,DT,Iowa State,74,322,,,,0,,
LT Overton,EDGE,Alabama,75,274,4.87,,,0,,
T.J. Parker,EDGE,Clemson,75,263,4.68,34,,120,,
Patrick Payton,EDGE,LSU,77,260,,,,0,,
Kaleb Proctor,DT,Southeastern Louisiana ,74,291,4.79,33,,113,,4.71
Jack Pyburn,DE,LSU,76,258,,,,0,,
Albert Regis,DT,Texas A&M,73,295,4.88,34,,116,,4.85
Mason Reiger,DT,Wisconsin,77,251,4.78,40,,125,,
Tyreak Sapp,EDGE,Florida,74,273,,,28,0,,
Gary Smith III,EDGE,UCLA,73,319,,28,,0,,
R Mason Thomas,EDGE,Oklahoma,74,241,4.67,,,0,,
Nadame Tucker ,EDGE,Western Michigan,74,247,4.73,33.5,,119,,
Damonic Williams,DT,Oklahoma,74,305,,,30,0,,
Wesley Williams ,EDGE,Duke,76,256,4.89,35.5,,120,,
Peter Woods ,DT,Clemson,74,298,,,,0,,
Zion Young,EDGE,Missouri ,78,262,,,,0,,
Chris Adams,OG,Memphis,77,311,,,,0,,
Austin Barber,OT,Florida,79,318,5.12,32,,111,,
Evan Beerntsen,OT,Northwestern,75,301,5.25,32.5,,105,,
Markel Bell,OG,Miami,81,346,5.36,,,0,,
Chase Bisontis,OG,Texas A&M,77,315,5.02,32,29,105,7.53,4.78
Jude Bowry,OT,Boston College,77,314,5.08,34.5,,115,,
Parker Brailsford,C,Alabama ,74,289,4.95,32.5,27,116,,4.72
Joshua Braun,OT,Kentucky,78,325,,,22,101,7.62,
Travis Burke ,OG,Memphis,80,325,5.17,,,107,,
Jager Burton,OG,Kentucky,76,312,4.94,,,110,,
DJ Campbell,OT,Texas,75,313,5.01,,,104,,
Fernando Carmona,OG,Arkansas,77,316,5.22,,26,103,7.5,4.75
Kage Casey,C,Boise State,78,310,5.2,,,0,8.01,
Pat Coogan,C,Indiana,77,311,,,,0,,
Anez Cooper,OG,Miami,78,334,,,,0,,
