rank,name,college,class,pos,carries,rush yards,YpC,Tds,year
1,Cam Cook,J'ville St,JR,RB,295,1659,5.62,16,2025
2,Ahmad Hardy,Missouri,SO,RB,256,1649,6.44,16,2025
3,Evan Dickens,Liberty,SO,RB,229,1339,5.85,16,2025
4,Emmett Johnson,Nebraska,JR,RB,251,1451,5.78,12,2025
5,Jeremiyah Love,Notre Dame,JR,RB,199,1372,6.89,18,2025
6,Caleb Hawkins,N Texas,FR,RB,231,1434,6.21,25,2025
7,Kaytron Allen,Penn State,SR,RB,210,1303,6.20,15,2025
8,Sieh Bangura,Ohio,SR,RB,241,1392,5.78,15,2025
9,Kewan Lacy,Miss,SO,RB,306,1567,5.12,24,2025
10,Antwan Raymond,Rutgers,SO,RB,244,1241,5.09,13,2025
11,Kejon Owens,FIU,SR,RB,213,1334,6.26,11,2025
12,LJ Martin,BYU,JR,RB,236,1305,5.53,12,2025
13,Blake Horvath,Navy,SR,QB,224,1200,5.36,16,2025
14,Lucky Sutton,SDSU,JR,RB,254,1297,5.11,10,2025
15,Wayne Knight,James Mad,JR,RB,207,1373,6.63,9,2025
16,Jadan Baugh,Florida,SO,RB,220,1170,5.32,8,2025
17,Cam Edwards,UConn,JR,RB,210,1240,5.90,15,2025
18,Raleek Brown,Ariz St,JR,RB,186,1141,6.13,4,2025
19,"Robert Henry, Jr.",UTSA,SR,RB,151,1045,6.92,9,2025
20,Cale Hellums,Army,JR,QB,304,1223,4.02,18,2025
21,Chip Trayanum,Toledo,SR,RB,182,1015,5.58,12,2025
22,Liam Szarka,Air Force,SO,QB,190,922,4.85,13,2025
23,Anthony Hankerson,Oregon St,SR,RB,247,1086,4.40,9,2025
24,Kentrel Bullock,USA,SR,RB,218,1085,4.98,14,2025
25,"Mike Washington, Jr.",Arkansas,SR,RB,167,1070,6.41,8,2025
26,Dominic Richardson,Tulsa,SR,RB,212,1065,5.02,5,2025
27,Lincoln Pare,Texas St,SR,RB,210,1128,5.37,12,2025
28,Carson Hansen,Iowa State,JR,RB,188,952,5.06,6,2025
29,OJ Arnold,Ga South,SR,RB,144,1032,7.17,5,2025
29,Jordan Gant,Akron,JR,RB,213,1032,4.85,6,2025
31,Hollywood Smothers,NC State,SO,RB,160,939,5.87,6,2025
32,"Mark Fletcher, Jr.",Miami (Fl),JR,RB,216,1192,5.52,12,2025
33,Jordan Marshall,Michigan,SO,RB,150,932,6.21,10,2025
34,Dontae McMillan,EMU,SR,RB,177,1014,5.73,4,2025
35,Byrum Brown,S Florida,SR,QB,175,1008,5.76,14,2025
36,Colton Joseph,ODU,SO,QB,158,1007,6.37,13,2025
37,Bo Jackson,Ohio State,FR,RB,179,1090,6.09,6,2025
38,DeSean Bishop,Tennessee,SO,RB,182,1076,5.91,16,2025
39,J'Mari Taylor,Virginia,SR,RB,222,1062,4.78,14,2025
40,Nate Sheppard,Duke,FR,RB,200,1132,5.66,11,2025
41,Jeremiah Cobb,Auburn,JR,RB,175,969,5.54,5,2025
42,Dylan Riley,Boise St,SO,RB,195,1125,5.77,10,2025
43,Cameron Dickey,Texas Tech,SO,RB,209,1124,5.38,14,2025
44,Kamari Moulton,Iowa,SO,RB,170,878,5.16,5,2025
45,Jai'Den Thomas,UNLV,JR,RB,148,1036,7.00,12,2025
46,Haynes King,Ga Tech,SR,QB,185,953,5.15,15,2025
47,Shomari Lawrence,MO State,SR,RB,199,1021,5.13,7,2025
48,Caleb Komolafe,N'western,SO,RB,190,941,4.95,11,2025
49,Jalen Buckley,W Mich,JR,RB,179,1003,5.60,9,2025
50,Caden Creel,J'ville St,SO,QB,182,1075,5.91,7,2025
51,Joe Jackson,Kansas St,SO,RB,169,911,5.39,8,2025
52,Demond Claiborne,Wk Forest,SR,RB,179,907,5.07,10,2025
53,Wayshawn Parker,Utah,SO,RB,149,981,6.58,6,2025
54,Dean Connors,Houston,SR,RB,200,977,4.89,6,2025
55,Jevon Jackson,UAB,SR,RB,167,900,5.39,5,2025
56,King Miller,USC,FR,RB,156,972,6.23,8,2025
57,Chavon Wright,N Illinois,SR,RB,196,875,4.46,5,2025
58,Kendrick Raphael,California,JR,RB,232,943,4.06,13,2025
59,Rashod Dubinion,App St,SR,RB,174,868,4.99,4,2025
60,Micah Ford,Stanford,SO,RB,145,643,4.43,4,2025
61,Keyjuan Brown,Louisville,SO,RB,96,704,7.33,6,2025
62,Roman Hemby,Indiana,SR,RB,230,1120,4.87,7,2025
63,Devon Dampier,Utah,JR,QB,146,835,5.72,10,2025
64,Alex Tecza,Navy,SR,RB,158,902,5.71,10,2025
65,Broc Lowry,W Mich,SO,QB,203,963,4.74,14,2025
66,Quinton Jackson,Rice,JR,RB,180,889,4.94,6,2025
67,Jekail Middlebrook,MTSU,SO,RB,140,752,5.37,4,2025
68,Rodney Fields Jr.,Okla St,FR,RB,124,614,4.95,1,2025
69,Parker Navarro,Ohio,SR,QB,160,886,5.54,9,2025
70,Marcellous Hawkins,Va Tech,JR,RB,118,749,6.35,1,2025
70,Turbo Richard,BC,SO,RB,145,749,5.17,9,2025
72,Nate Frazier,Georgia,SO,RB,173,947,5.47,6,2025
73,Jay Ducker,Temple,SR,RB,157,809,5.15,7,2025
74,Darius Taylor,Minnesota,JR,RB,143,670,4.69,4,2025
75,Will Henderson III,UTSA,FR,RB,125,866,6.93,6,2025
76,Diego Pavia,Vanderbilt,SR,QB,167,862,5.16,10,2025
77,Ismail Mahdi,Arizona,SR,RB,134,859,6.41,4,2025
78,Seth McGowan,Kentucky,SR,RB,165,725,4.39,12,2025
79,Bryson Washington,Baylor,SO,RB,154,788,5.12,6,2025
80,Kaelon Black,Indiana,SR,RB,186,1040,5.59,10,2025
