rank,name,college,class,pos,receptions,rec yards,Tds,year
1,Danny Scudero,SJSU,SO,WR,88,1297,10,2025
2,Skyler Bell,UConn,SR,WR,101,1278,13,2025
3,Makai Lemon,USC,JR,WR,79,1156,11,2025
4,Jeremiah Smith,Ohio State,SO,WR,87,1243,12,2025
5,Beau Sparks,Texas St,JR,WR,84,1200,10,2025
6,Eric McAlister,TCU,SR,WR,72,1190,10,2025
7,Wyatt Young,N Texas,SO,WR,70,1264,10,2025
7,KJ Duff,Rutgers,SO,WR,60,1084,7,2025
9,Duce Robinson,FSU,JR,WR,56,1081,6,2025
10,Easton Messer,FAU,JR,WR,104,1052,6,2025
11,Jackson Harris,Hawai'i,SO,WR,49,963,12,2025
12,Chris Brazzell II,Tennessee,JR,WR,62,1017,9,2025
13,"Chris Dawn, Jr.",Texas St,JR,WR,65,1007,4,2025
14,Omar Cooper,Indiana,SR,WR,69,937,13,2025
15,Chris Bell,Louisville,SR,WR,72,917,6,2025
16,Camden Brown,Ga South,SR,WR,65,1079,14,2025
17,Lewis Bond,BC,SR,WR,88,993,1,2025
18,Nik McMillan,Buffalo,JR,WR,62,981,3,2025
19,Brenen Thompson,Miss St,SR,WR,57,1054,6,2025
20,Anthony Smith,ECU,SR,WR,64,1053,7,2025
21,Chase Hendricks,Ohio,JR,WR,71,1037,7,2025
22,Carnell Tate,Ohio State,JR,WR,51,875,9,2025
23,Corey Rucker,Ark St,SR,WR,75,1032,4,2025
24,Jacob De Jesus,California,SR,WR,108,1030,6,2025
25,Cooper Barkate,Duke,SR,WR,72,1106,7,2025
26,Junior Vandeross III,Toledo,SR,WR,82,1008,11,2025
27,Iverson Hooks,UAB,SO,WR,72,927,7,2025
28,Braden Pegan,Utah State,JR,WR,60,926,5,2025
29,Mario Craver,Texas A&M,SO,WR,59,917,4,2025
30,Ian Strong,Rutgers,JR,WR,52,762,5,2025
31,Malachi Toney,Miami (Fl),FR,WR,109,1211,10,2025
32,Amare Thomas,Houston,JR,WR,67,966,12,2025
33,Isaiah Sategna III,Oklahoma,JR,WR,67,965,8,2025
34,Cortez Braham Jr.,Memphis,SR,WR,63,889,8,2025
35,Omarion Miller,Colorado,JR,WR,45,808,8,2025
36,Denzel Boston,Washington,JR,WR,62,881,11,2025
37,Keshaun Singleton,S Florida,JR,WR,50,877,8,2025
38,Josh Cameron,Baylor,SR,WR,69,872,9,2025
39,Eli Heidenreich,Navy,SR,SB,51,941,6,2025
40,Jayce Brown,Kansas St,JR,WR,41,712,5,2025
41,KC Concepcion,Texas A&M,JR,WR,61,919,9,2025
42,Kam Perry,Miami (Oh),JR,WR,43,976,6,2025
43,Jordan Hudson,SMU,SR,WR,61,766,6,2025
44,Trent Walker,Oregon St,SR,WR,68,823,2,2025
45,Matthew Henry,Western Ky,SR,WR,55,888,6,2025
46,Victor Snow,Buffalo,JR,WR,62,815,8,2025
47,Gabriel Benyard,KSU,SR,WR,60,949,9,2025
48,Griffin Wilde,N'western,JR,WR,71,880,8,2025
48,Ja'Kobi Lane,USC,JR,WR,49,745,4,2025
50,Sean Wilson,Delaware,SO,WR,68,877,3,2025
51,Hank Beatty,Illinois,SR,WR,70,864,3,2025
51,Jaden Bradley,UNLV,SR,WR,58,931,4,2025
53,Parker Kingston,BYU,JR,WR,67,928,5,2025
54,Trell Harris,Virginia,SR,WR,59,847,5,2025
55,Cameron Dorner,N Texas,SR,WR,56,911,8,2025
56,Devin Voisin,USA,SR,WR,67,776,4,2025
57,Alex Perry,FIU,JR,WR,56,840,9,2025
58,Braylon Staley,Tennessee,FR,WR,68,837,6,2025
58,T.J. Moore,Clemson,SO,WR,52,837,4,2025
60,Keagan Johnson,New Mexico,SR,WR,61,772,3,2025
61,Ryan Wingo,Texas,SO,WR,54,834,7,2025
62,Demarcus Lacey,Marshall,SR,WR,65,769,5,2025
62,Eli Stowers,Vanderbilt,SR,TE,62,769,4,2025
62,O’Mega Blake,Arkansas,SR,WR,58,769,5,2025
65,Kyri Shoels,SJSU,JR,WR,59,768,2,2025
66,Anthony Evans III,Miss St,JR,WR,67,831,4,2025
67,Emmanuel Henderson Jr.,Kansas,SR,WR,45,766,5,2025
68,Kris Hutson,Arizona,SR,WR,60,764,4,2025
69,Pofele Ashlock,Hawai'i,JR,WR,76,827,8,2025
70,Kyre Duplessis,Delaware,SR,WR,60,824,5,2025
71,Michael Trigg,Baylor,SR,TE,50,694,6,2025
72,Jordan Napier,SDSU,SO,WR,48,629,2,2025
73,Mike Matthews,Tennessee,SO,WR,53,813,4,2025
74,CJ Williams,Stanford,SR,WR,59,749,6,2025
75,Harrison Wallace III,Miss,SR,WR,61,934,4,2025
76,Tre Richardson,Vanderbilt,JR,WR,46,806,7,2025
77,Javen Nicholas,Charlotte,JR,WR,60,740,5,2025
12,Jordyn Tyson,Ariz St,SO,WR,75,1101,10,2024
