rank,name,college,class,pos,CmpPct,pass yards,PTds,ints,P rating,year
1,Cam Ward,Miami (Fl),SR,QB,67.2,4313,39,7,172.25,2024
2,Shedeur Sanders,Colorado,SR,QB,74.0,4134,37,10,168.21,2024
3,Cade Klubnik,Clemson,JR,QB,63.4,3639,36,6,148.24,2024
4,Will Howard,Ohio State,SR,QB,73.0,4010,35,10,175.25,2024
5,Kyle McCord,Syracuse,SR,QB,66.0,4779,34,12,148.76,2024
6,Chandler Morris,N Texas,JR,QB,62.9,3774,31,12,140.10,2024
6,Quinn Ewers,Texas,JR,QB,65.8,3472,31,12,148.98,2024
8,Dillon Gabriel,Oregon,SR,QB,72.9,3857,30,6,164.88,2024
8,Jordan McCloud,Texas St,SR,QB,70.0,3227,30,13,158.21,2024
10,Jaxson Dart,Miss,SR,QB,69.3,4279,29,6,180.68,2024
10,Garrett Nussmeier,LSU,JR,QB,64.2,4052,29,12,142.68,2024
1,Bo Nix,Oregon,SR,QB,77.4,4508,45,3,188.32,2023
2,Jayden Daniels,LSU,SR,QB,72.2,3812,40,4,208.01,2023
3,Michael Penix Jr.,Washington,SR,QB,65.4,4903,36,11,157.06,2023
4,Jordan McCloud,James Mad,SR,QB,68.2,3657,35,10,165.94,2023
5,Joey Aguilar,App St,JR,QB,63.7,3757,33,10,151.62,2023
6,Seth Henigan,Memphis,JR,QB,66.8,3883,32,9,153.75,2023
6,Kaidon Salter,Liberty,SO,QB,61.0,2876,32,6,176.60,2023
8,Austin Reed,Western Ky,SR,QB,61.5,3340,31,11,138.27,2023
9,Dillon Gabriel,Oklahoma,SR,QB,69.3,3660,30,6,171.98,2023
9,Caleb Williams,USC,JR,QB,68.6,3633,30,5,170.15,2023
11,Chandler Rogers,N Texas,JR,QB,62.2,3382,29,5,150.06,2023
12,Preston Stone,SMU,SO,QB,59.9,3197,28,6,161.32,2023
13,Shedeur Sanders,Colorado,JR,QB,69.3,3230,27,3,151.72,2023
13,Gunnar Watson,Troy,SR,QB,61.0,3569,27,6,146.91,2023
13,Haynes King,Ga Tech,SO,QB,61.6,2842,27,16,142.19,2023
16,Brayden Schager,Hawai'i,JR,QB,63.2,3542,26,14,130.92,2023
16,Byrum Brown,S Florida,FR,QB,64.6,3292,26,11,144.34,2023
16,Diego Pavia,NMSU,JR,QB,60.4,2973,26,9,147.13,2023
19,Cameron Ward,Wash St,JR,QB,66.6,3736,25,7,145.43,2023
19,Taulia Tagovailoa,Maryland,SR,QB,66.4,3377,25,11,145.13,2023
19,Noah Fifita,Arizona,FR,QB,72.4,2869,25,6,165.92,2023
19,Devin Leary,Kentucky,SR,QB,56.3,2746,25,12,134.28,2023
19,Drew Allar,Penn State,SO,QB,59.9,2631,25,2,136.89,2023
24,Drake Maye,N Carolina,SO,QB,63.3,3608,24,9,149.00,2023
1,Caleb Williams,USC,SO,QB,66.6,4537,42,5,168.54,2022
2,C.J. Stroud,Ohio State,JR,QB,66.3,3688,41,6,177.66,2022
3,Austin Reed,Western Ky,SR,QB,64.5,4744,40,11,148.83,2022
3,Clayton Tune,Houston,SR,QB,67.3,4074,40,10,158.92,2022
5,Drake Maye,N Carolina,FR,QB,66.2,4321,38,7,157.91,2022
5,Sam Hartman,Wk Forest,JR,QB,63.1,3701,38,12,159.40,2022
7,Will Rogers,Miss St,JR,QB,68.0,3974,35,8,139.08,2022
8,Tanner Mordecai,SMU,SR,QB,65.0,3524,33,10,151.90,2022
8,Austin Aune,N Texas,JR,QB,56.4,3547,33,15,148.14,2022
10,Frank Harris,UTSA,SR,QB,69.6,4063,32,9,160.70,2022
10,Bryce Young,Alabama,JR,QB,64.5,3328,32,5,163.20,2022
10,Max Duggan,TCU,SR,QB,63.7,3698,32,8,159.24,2022
13,Michael Penix Jr.,Washington,JR,QB,65.3,4641,31,8,151.29,2022
13,Jaren Hall,BYU,JR,QB,66.0,3171,31,6,160.83,2022
15,Bo Nix,Oregon,SR,QB,71.9,3593,29,7,165.65,2022
1,Bailey Zappe,Western Ky,SR,QB,69.2,5967,62,11,168.92,2021
2,Bryce Young,Alabama,SO,QB,66.9,4872,47,7,167.52,2021
3,C.J. Stroud,Ohio State,FR,QB,71.9,4435,44,6,186.56,2021
4,Kenny Pickett,Pittsburgh,SR,QB,67.2,4319,42,7,165.27,2021
5,Tanner Mordecai,SMU,JR,QB,67.8,3628,39,12,158.02,2021
5,Sam Hartman,Wk Forest,SO,QB,58.9,4228,39,14,148.59,2021
7,Will Rogers,Miss St,SO,QB,73.9,4739,36,9,146.98,2021
7,Carson Strong,Nevada,JR,QB,70.0,4175,36,8,156.69,2021
7,Logan Bonner,Utah State,JR,QB,61.3,3628,36,12,154.45,2021
10,Devin Leary,NC State,SO,QB,65.7,3433,35,5,157.05,2021
11,Jake Haener,Fresno St,SR,QB,67.1,4096,33,9,155.92,2021
12,Brennan Armstrong,Virginia,JR,QB,65.2,4449,31,10,156.40,2021
12,Hendon Hooker,Tennessee,SR,QB,68.0,2945,31,3,181.41,2021
14,Clayton Tune,Houston,JR,QB,68.3,3546,30,10,158.06,2021
14,Desmond Ridder,Cincinnati,SR,QB,64.9,3334,30,8,158.68,2021
16,Stetson Bennett,Georgia,SR,QB,64.5,2862,29,7,176.69,2021
17,Aidan O'Connell,Purdue,SR,QB,71.8,3708,28,11,158.74,2021
18,Grayson McCall,Coast Car,SO,QB,73.0,2873,27,3,207.65,2021
