rank,name,college,class,pos,receptions,rec yards,Tds,year
1,Harold Fannin Jr.,BGSU,JR,TE,117,1555,10,2024
2,Nick Nash,SJSU,SR,WR,104,1382,16,2024
3,Tetairoa McMillan,Arizona,JR,WR,84,1319,8,2024
4,Jeremiah Smith,Ohio State,FR,WR,76,1315,15,2024
5,Travis Hunter,Colorado,JR,ATH,96,1258,15,2024
6,Coleman Owen,Ohio,SR,WR,78,1245,8,2024
7,Tyler Warren,Penn State,SR,TE,104,1233,8,2024
8,Kyle Williams,Wash St,SR,WR,70,1198,14,2024
9,Jaylin Noel,Iowa State,SR,WR,80,1194,8,2024
10,Jayden Higgins,Iowa State,SR,WR,87,1183,9,2024
11,Eric Rivers,FIU,JR,WR,62,1172,12,2024
12,Andrew Armstrong,Arkansas,SR,WR,78,1140,1,2024
13,Jamaal Pritchett,USA,SR,WR,91,1127,9,2024
13,Xavier Restrepo,Miami (Fl),SR,WR,69,1127,11,2024
15,Tai Felton,Maryland,SR,WR,96,1124,9,2024
16,Jordyn Tyson,Ariz St,SO,WR,75,1101,10,2024
17,Mac Dalena,Fresno St,SR,WR,64,1065,8,2024
18,Corey Rucker,Ark St,JR,WR,69,1053,7,2024
19,Jerjuan Newton,Toledo,SR,WR,72,1048,11,2024
20,Devonte Ross,Troy,JR,WR,76,1043,11,2024
21,Ricky White III,UNLV,SR,WR,79,1041,11,2024
22,Jack Bech,TCU,SR,WR,62,1034,9,2024
23,Mario Williams,Tulane,JR,WR,60,1031,6,2024
24,Tre Harris,Miss,SR,WR,60,1030,7,2024
25,Josh Kelly,Texas Tech,SR,WR,89,1023,5,2024
26,Jackson Meeks,Syracuse,SR,WR,78,1021,7,2024
27,Ja'Corey Brooks,Louisville,SR,WR,61,1013,9,2024
28,Emeka Egbuka,Ohio State,SR,WR,81,1011,10,2024
29,Matthew Golden,Texas,JR,WR,58,987,9,2024
60,Colston Loveland,Michigan,JR,TE,56,582,5,2024
1,Rome Odunze,Washington,JR,WR,92,1640,13,2023
2,Malik Nabers,LSU,JR,WR,89,1569,14,2023
