rank,name,college,class,pos,carries,rush yards,YpC,Tds,year
1,Ashton Jeanty,Boise St,JR,RB,374,2601,6.95,29,2024
2,Omarion Hampton,N Carolina,JR,RB,281,1660,5.91,15,2024
3,Tahj Brooks,Texas Tech,SR,RB,286,1505,5.26,17,2024
4,Cam Skattebo,Ariz St,SR,RB,293,1711,5.84,21,2024
5,RJ Harvey,UCF,SR,RB,232,1577,6.80,22,2024
6,Kaleb Johnson,Iowa,JR,RB,240,1537,6.40,21,2024
7,Bryson Daily,Army,SR,QB,310,1659,5.35,32,2024
8,Tre Stewart,J'ville St,SR,RB,278,1638,5.89,25,2024
9,Kyle Monangai,Rutgers,SR,RB,256,1279,5.00,13,2024
10,Dylan Sampson,Tennessee,JR,RB,258,1491,5.78,22,2024
11,Quinton Cooley,Liberty,SR,RB,205,1254,6.12,13,2024
12,Ahmad Hardy,La-Monroe,FR,RB,237,1351,5.70,13,2024
13,DJ Giddens,Kansas St,JR,RB,205,1343,6.55,7,2024
14,Marquez Cooper,SDSU,SR,RB,292,1274,4.36,12,2024
15,Devin Neal,Kansas,SR,RB,219,1266,5.78,16,2024
16,Bhayshul Tuten,Va Tech,SR,RB,183,1159,6.33,15,2024
17,Mario Anderson Jr.,Memphis,SR,RB,236,1362,5.77,18,2024
18,Blake Horvath,Navy,JR,QB,175,1246,7.12,17,2024
19,Jarquez Hunter,Auburn,SR,RB,187,1201,6.42,8,2024
20,Makhi Hughes,Tulane,SO,RB,265,1401,5.29,15,2024
21,Devon Dampier,New Mexico,SO,QB,155,1166,7.52,19,2024
22,Corey Kiner,Cincinnati,SR,RB,204,1153,5.65,4,2024
23,Tyler Huff,J'ville St,SR,QB,227,1344,5.92,15,2024
24,Brashard Smith,SMU,SR,RB,235,1332,5.67,14,2024
25,Woody Marks,USC,SR,RB,198,1133,5.72,9,2024
26,Anthony Tyus III,Ohio,SR,RB,237,1215,5.13,9,2024
1,Cody Schrader,Missouri,SR,RB,276,1627,5.89,14,2023
2,Ollie Gordon II,Okla St,SO,RB,285,1732,6.08,21,2023
3,Kimani Vidal,Troy,JR,RB,297,1661,5.59,14,2023
4,Tahj Brooks,Texas Tech,SR,RB,290,1538,5.30,10,2023
5,Omarion Hampton,N Carolina,SO,RB,253,1504,5.94,15,2023
6,Marcus Carroll,Georgia St,SR,RB,274,1350,4.93,13,2023
7,Ashton Jeanty,Boise St,SO,RB,220,1347,6.12,14,2023
8,Audric Estimé,Notre Dame,JR,RB,210,1341,6.39,18,2023
9,Jaydn Ott,California,SO,RB,246,1315,5.35,12,2023
10,RJ Harvey,UCF,SR,RB,226,1416,6.27,16,2023
11,Peny Boone,Toledo,JR,RB,194,1400,7.22,15,2023
12,Jonathon Brooks,Texas,SO,RB,187,1139,6.09,10,2023
13,Ismail Mahdi,Texas St,SO,RB,223,1331,5.97,10,2023
14,Emani Bailey,TCU,JR,RB,223,1209,5.42,8,2023
15,Quinton Cooley,Liberty,JR,RB,221,1401,6.34,16,2023
