rank,name,college,class,pos,Sacks,Year
1,Mike Green,Marshall,SO,DL,17.0,2024
2,Donovan Ezeiruaku,BC,SR,DE,16.5,2024
3,Antwaun Powell-Ryland,Va Tech,SR,DL,16.0,2024
4,Eric O'Neill,James Mad,JR,DL,13.0,2024
5,JT Tuimoloau,Ohio State,SR,DE,12.5,2024
5,Trey White,SDSU,SO,EDG,12.5,2024
7,Abdul Carter,Penn State,JR,DE,12.0,2024
8,Kyle Kennard,S Carolina,SR,EDG,11.5,2024
9,T.J. Parker,Clemson,SO,DE,11.0,2024
10,Princely Umanmielen,Miss,SR,DE,10.5,2024
10,Suntarine Perkins,Miss,SO,LB,10.5,2024
10,Matayo Uiagalelei,Oregon,SO,OLB,10.5,2024
10,Jimmori Robinson,UTSA,SR,OLB,10.5,2024
14,Mikail Kamara,Indiana,JR,DL,10.0,2024
14,Jayden Virgin-Morgan,Boise St,SO,EDG,10.0,2024
16,Clev Lubin,Coast Car,SO,BAN,9.5,2024
16,Ahmed Hassanein,Boise St,SR,DE,9.5,2024
16,Johnny Walker Jr.,Missouri,SR,DE,9.5,2024
16,Kobe Stewart,Buffalo,JR,EDG,9.5,2024
20,Jack Sawyer,Ohio State,SR,DE,9.0,2024
20,Colin Simmons,Texas,FR,EDG,9.0,2024
20,R Mason Thomas,Oklahoma,JR,DL,9.0,2024
20,Khairi Manns,James Mad,SR,DL,9.0,2024
20,Xavier Carlton,California,SR,OLB,9.0,2024
25,Bradley Weaver,Ohio,JR,DE,8.5,2024
25,Josaiah Stewart,Michigan,SR,EDG,8.5,2024
25,Bradyn Swinson,LSU,SR,DE,8.5,2024
25,Brendan Mott,Kansas St,SR,DE,8.5,2024
25,Dion Crawford,Buffalo,SO,LB,8.5,2024
25,Dani Dennis-Sutton,Penn State,JR,DE,8.5,2024
25,Jordan Burch,Oregon,SR,DE,8.5,2024
32,Gabe Jacas,Illinois,JR,OLB,8.0,2024
32,Devonte O'Malley,N Illinois,SR,DT,8.0,2024
32,Maurice Westmoreland,UTEP,SR,BAN,8.0,2024
32,Jalen McLeod,Auburn,SR,BCK,8.0,2024
32,Anthony Hill Jr.,Texas,SO,LB,8.0,2024
37,Rylie Mills,Notre Dame,SR,DL,7.5,2024
37,Cian Slone,Utah State,SR,DE,7.5,2024
37,Elijah Roberts,SMU,SR,DE,7.5,2024
37,Beau Atkinson,N Carolina,SO,DL,7.5,2024
37,BJ Green II,Colorado,SR,DE,7.5,2024
37,James Pearce Jr.,Tennessee,JR,DL,7.5,2024
37,Brian Ugwu,Miami (Oh),SR,DL,7.5,2024
37,Fisher Camac,UNLV,SO,DL,7.5,2024
37,Jahfari Harvey,SMU,SR,DE,7.5,2024
37,Wesley Williams,Duke,SO,DE,7.5,2024
37,Jared Bartlett,Cincinnati,SR,LB,7.5,2024
37,Fadil Diggs,Syracuse,SR,DL,7.5,2024
