pick,team name,name,position,college,year
1,Buccaneers,Jameis Winston,QB,Florida State,2015
2,Titans,Marcus Mariota,QB,Oregon,2015
3,Jaguars,Dante Fowler Jr.,OLB,Florida,2015
4,Raiders,Amari Cooper,WR,Alabama,2015
5,Redskins,Brandon Scherff,OG,Iowa,2015
6,Jets,Leonard Williams,DE,USC,2015
7,Bears,Kevin White,WR,West Virginia,2015
8,Falcons,Vic Beasley,OLB,Clemson,2015
9,Giants,Ereck Flowers,OT,Miami,2015
10,Rams,Todd Gurley,RB,Georgia,2015
11,Vikings,Trae Waynes,CB,Michigan State,2015
12,Browns,Danny Shelton,NT,Washington,2015
13,Saints,Andrus Peat,OT,Stanford,2015
14,Dolphins,DeVante Parker,WR,Louisville,2015
15,Chargers,Melvin Gordon,RB,Wisconsin,2015
16,Texans,Kevin Johnson,CB,Wake Forest,2015
17,Niners,Arik Armstead,DT,Oregon,2015
18,Chiefs,Marcus Peters,CB,Washington,2015
19,Browns,Cameron Erving,C,Florida State,2015
20,Eagles,Nelson Agholor,WR,USC,2015
21,Bengals,Cedric Ogbuehi,OT,Texas A&M,2015
22,Steelers,Bud Dupree,OLB,Kentucky,2015
23,Broncos,Shane Ray,DE,Missouri,2015
24,Cardinals,D.J. Humphries,OT,Florida,2015
25,Panthers,Shaq Thompson,OLB,Washington,2015
26,Ravens,Breshad Perriman,WR,UCF,2015
27,Cowboys,Byron Jones,CB,Connecticut,2015
28,Lions,Laken Tomlinson,OG,Duke,2015
29,Colts,Phillip Dorsett,WR,Miami,2015
30,Packers,Damarious Randall,FS,Arizona State,2015
31,Saints,Stephone Anthony,ILB,Clemson,2015
32,Patriots,Malcom Brown,DT,Texas,2015
1,Rams,Jared Goff,QB,California,2016
2,Eagles,Carson Wentz,QB,North Dakota State,2016
3,Chargers,Joey Bosa,DE,Ohio State,2016
4,Cowboys,Ezekiel Elliott,RB,Ohio State,2016
5,Jaguars,Jalen Ramsey,CB,Florida State,2016
6,Ravens,Ronnie Stanley,OT,Notre Dame,2016
7,49ers,DeForest Buckner,DE,Oregon,2016
8,Titans,Jack Conklin,OT,Michigan State,2016
9,Bears,Leonard Floyd,OLB,Georgia,2016
10,Giants,Eli Apple,CB,Ohio State,2016
11,Buccaneers,Vernon Hargreaves III,CB,Florida,2016
12,Saints,Sheldon Rankins,DT,Louisville,2016
13,Dolphins,Laremy Tunsil,OT,Mississippi,2016
14,Raiders,Karl Joseph,S,West Virginia,2016
15,Browns,Corey Coleman,WR,Baylor,2016
16,Lions,Taylor Decker,OT,Ohio State,2016
17,Falcons,Keanu Neal,SS,Florida,2016
18,Colts,Ryan Kelly,C,Alabama,2016
19,Bills,Shaq Lawson,DE,Clemson,2016
20,Jets,Darron Lee,OLB,Ohio State,2016
21,Texans,Will Fuller,WR,Notre Dame,2016
22,Redskins,Josh Doctson,WR,TCU,2016
23,Vikings,Laquon Treadwell,WR,Mississippi,2016
24,Bengals,William Jackson,CB,Houston,2016
25,Steelers,Artie Burns,CB,Miami,2016
26,Broncos,Paxton Lynch,QB,Memphis,2016
27,Packers,Kenny Clark,NT,UCLA,2016
28,49ers,Joshua Garnett,OG,Stanford,2016
29,Cardinals,Robert Nkemdiche,DT,Mississippi,2016
30,Panthers,Vernon Butler,DT,Louisiana Tech,2016
31,Seahawks,Germain Ifedi,OG,Texas A&M,2016
1,Browns,Myles Garrett,DE,Texas A&M,2017
