2025
1	Drew Mestemaker	N Texas	FR	QB	14	463	319	68.9	4379	9.5	34	9	168.69	33.1	312.8
2	Darian Mensah	Duke	SO	QB	14	500	334	66.8	3973	7.9	34	6	153.59	35.7	283.8
3	Trinidad Chambliss	Miss	SR	QB	15	445	294	66.1	3937	8.8	22	3	155.35	29.7	262.5
4	Carson Beck	Miami (Fl)	SR	QB	16	467	338	72.4	3813	8.2	30	12	157.03	29.2	238.3
5	Jayden Maiava	USC	JR	QB	13	403	265	65.8	3711	9.2	24	10	157.80	31.0	285.5
6	Nick Minicucci	Delaware	JR	QB	13	512	322	62.9	3683	7.2	23	7	135.40	39.4	283.3
7	Sawyer Robertson	Baylor	SR	QB	12	504	304	60.3	3681	7.3	31	12	137.21	42.0	306.8
8	Caden Veltkamp	FAU	JR	QB	12	515	345	67.0	3641	7.1	24	17	135.16	42.9	303.4
8	Kevin Jennings	SMU	JR	QB	13	454	300	66.1	3641	8.0	26	13	146.62	34.9	280.1
10	Julian Sayin	Ohio State	SO	QB	14	391	301	77.0	3610	9.2	32	8	177.46	27.9	257.9
11	Ty Simpson	Alabama	JR	QB	15	473	305	64.5	3567	7.5	28	5	145.25	31.5	237.8
12	Joey Aguilar	Tennessee	SR	QB	13	404	272	67.3	3565	8.8	24	10	156.11	31.1	274.2
12	Dante Moore	Oregon	SO	QB	15	412	296	71.8	3565	8.7	30	10	163.72	27.5	237.7
14	Diego Pavia	Vanderbilt	SR	QB	13	378	267	70.6	3539	9.4	29	8	170.37	29.1	272.2
15	Fernando Mendoza	Indiana	JR	QB	16	379	273	72.0	3535	9.3	41	6	182.91	23.7	220.9
16	Josh Hoover	TCU	JR	QB	12	413	272	65.9	3472	8.4	29	13	153.35	34.4	289.3
17	Anthony Colandrea	UNLV	JR	QB	14	417	275	65.9	3459	8.3	23	9	149.51	29.8	247.1
18	Jaron-Keawe Sagapolutele	California	FR	QB	13	492	316	64.2	3454	7.0	18	9	131.61	37.8	265.7
19	Joe Fagnano	UConn	SR	QB	12	413	285	69.0	3448	8.3	28	1	161.03	34.4	287.3
20	Jaylen Raynor	Ark St	JR	QB	13	501	333	66.5	3361	6.7	19	11	130.95	38.5	258.5
21	Katin Houser	ECU	JR	QB	12	408	269	65.9	3300	8.1	19	6	146.30	34.0	275.0
22	Jacob Clark	MO State	SR	QB	12	376	247	65.7	3244	8.6	28	11	156.90	31.3	270.3
23	Noah Fifita	Arizona	JR	QB	13	428	275	64.3	3228	7.5	29	6	147.16	32.9	248.3
24	Brad Jackson	Texas St	FR	QB	13	352	251	71.3	3224	9.2	21	7	163.96	27.1	248.0
25	Marcel Reed	Texas A&M	SO	QB	13	377	234	62.1	3169	8.4	25	12	148.19	29.0	243.8
